,s1,s2,p-value
94,CSCO,PYPL,0.04668237723388294
75,BKNG,NVDA,0.04671791168225693
325,MDB,MRVL,0.0467793331256625
307,LULU,MSFT,0.04688202970620435
131,DLTR,ILMN,0.04688362863136389
383,TTWO,WBA,0.047036024087773624
121,CTSH,SNPS,0.04718547141313612
240,GFS,PCAR,0.0471958819654145
319,MCHP,MELI,0.04735239894943121
93,CPRT,VRTX,0.04746484160950741
363,PCAR,VRTX,0.04748550848515985
234,GFS,MSFT,0.04766431109856741
149,EXC,PDD,0.04802412825916335
46,AEP,DLTR,0.048030864354730245
48,AEP,ODFL,0.04819105580955177
60,AMAT,PCAR,0.04832697030555592
277,ILMN,PANW,0.04836161391588064
36,ADSK,LULU,0.048413509045356275
334,MNST,MSFT,0.04848556082541851
228,GFS,LIN,0.048488399719509995
264,GOOGL,META,0.04853703213290754
238,GFS,PANW,0.048866728506379103
105,CTSH,GOOG,0.048966747606786376
226,GFS,KDP,0.04902380920839959
253,GFS,VRSK,0.04915491464283304
273,IDXX,ORLY,0.04918096578782574
384,TXN,VRTX,0.04936014252851918
86,CDNS,NVDA,0.04949617666027724
367,PYPL,ROST,0.049509374691730106
106,CTSH,GOOGL,0.049796346522462745
56,AMAT,LRCX,0.049988336313858114
